"ID","Area","ZCTA5CE00","CLASSFP00","MTFCC00","FUNCSTAT00","Group.1","ideal_point","ideal_point_se"
338,10.464824,"22401","B5","G6350","S",22401,-0.632621,0.629045
339,108.513840,"23837","B5","G6350","S",23837,-0.044081,0.659926
340,41.565918,"23844","B5","G6350","S",23844,0.325750,0.496586
341,42.392406,"23874","B5","G6350","S",,,
342,38.070053,"23828","B5","G6350","S",,,
343,81.029678,"23829","B5","G6350","S",,,
344,80.879936,"23888","B5","G6350","S",23888,-0.495116,0.571271
345,48.501991,"23827","B5","G6350","S",23827,0.378966,0.855121
346,54.784615,"23878","B5","G6350","S",23878,0.740440,0.478756
347,5.404068,"23665","B5","G6350","S",23665,-0.308678,0.760567
348,94.519081,"23188","B5","G6350","S",23188,0.197011,0.542017
349,14.303517,"23691","B5","G6350","S",,,
350,60.792454,"23185","B5","G6350","S",23185,-0.500748,0.573107
351,6.818750,"23696","B5","G6350","S",23696,1.234313,0.671866
352,13.233431,"23693","B5","G6350","S",23693,0.106096,0.581209
353,22.973310,"23692","B5","G6350","S",23692,0.450065,0.730433
354,9.413947,"23690","B5","G6350","S",23690,0.096087,0.523520
355,22.261356,"236HH","B5","G6350","S",,,
356,35.541027,"24014","B5","G6350","S",24014,0.310407,0.597169
357,4.710330,"24015","B5","G6350","S",24015,-0.729624,0.606600
358,8.917892,"24017","B5","G6350","S",24017,-0.151154,0.529424
359,3.323936,"24016","B5","G6350","S",24016,0.159070,0.510380
360,2.257503,"24013","B5","G6350","S",24013,-1.049456,0.484627
361,38.657684,"24018","B5","G6350","S",24018,0.248866,0.588861
362,0.181827,"24011","B5","G6350","S",,,
363,80.059525,"24137","B5","G6350","S",24137,0.368171,0.509209
364,80.404243,"24541","B5","G6350","S",24541,-0.131893,0.649468
365,36.945377,"24566","B5","G6350","S",24566,0.588652,0.747957
366,58.486004,"24586","B5","G6350","S",24586,0.159488,0.603822
367,71.845421,"24540","B5","G6350","S",24540,0.403107,0.692514
368,52.996330,"24549","B5","G6350","S",24549,0.329280,0.894322
369,34.178989,"24069","B5","G6350","S",24069,0.064284,0.567391
370,69.603500,"24563","B5","G6350","S",24563,-0.763318,0.585582
