SAINC7N Wages and Salaries by NAICS Industry 1/,,,,,,,
(Thousands of dollars) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013
4000,Arizona,103,        Support activities for agriculture and forestry,272413,283737,282404,283817
4000,Arizona,200,"      Mining, quarrying, and oil and gas extraction",735599,859013,964528,996554
4000,Arizona,201,        Oil and gas extraction,1749,6315,8451,6911
4000,Arizona,202,        Mining (except oil and gas),689581,811503,910488,949779
4000,Arizona,203,        Support activities for mining,44269,41195,45589,39864
4000,Arizona,300,      Utilities,1113566,1141983,1174620,1163758
4000,Arizona,400,      Construction,5171866,5239962,5722652,6144975
4000,Arizona,401,        Construction of buildings,1220931,1227572,1304400,1382797
4000,Arizona,402,        Heavy and civil engineering construction,869165,863266,896540,991957
4000,Arizona,403,        Specialty trade contractors,3081770,3149124,3521712,3770221
4000,Arizona,500,      Manufacturing,9816727,10397564,10859891,10918748
4000,Arizona,510,        Durable goods manufacturing,8564238,9086312,9477297,9488104
4000,Arizona,511,          Wood product manufacturing,116007,107167,116219,130517
4000,Arizona,512,          Nonmetallic mineral product manufacturing,256924,243215,256870,285474
4000,Arizona,513,          Primary metal manufacturing,209329,209465,249444,251342
4000,Arizona,514,          Fabricated metal product manufacturing,764075,804893,862149,907209
4000,Arizona,515,          Machinery manufacturing,352713,352989,377262,373926
4000,Arizona,516,          Computer and electronic product manufacturing,3645473,3992491,4029701,3904712
4000,Arizona,517,"          Electrical equipment, appliance, and component manufacturing",132304,138220,135159,131252
4000,Arizona,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",(D),136745,(D),167575
4000,Arizona,519,          Other transportation equipment manufacturing,(D),2460565,(D),2596456
4000,Arizona,521,          Furniture and related product manufacturing,165157,165839,179085,189062
4000,Arizona,522,          Miscellaneous manufacturing,391297,474723,515792,550579
4000,Arizona,530,        Nondurable goods manufacturing,1252489,1311252,1382594,1430644
