"ID","Area","ZCTA5CE00","CLASSFP00","MTFCC00","FUNCSTAT00"
458,44.426182,"24133","B5","G6350","S"
459,206.061844,"24171","B5","G6350","S"
460,47.439236,"24185","B5","G6350","S"
461,8.283150,"24082","B5","G6350","S"
462,109.423065,"24088","B5","G6350","S"
463,24.716112,"24076","B5","G6350","S"
464,129.780762,"24401","B5","G6350","S"
465,153.482742,"23322","B5","G6350","S"
466,27.193062,"23321","B5","G6350","S"
467,123.427483,"23323","B5","G6350","S"
468,3.840716,"23325","B5","G6350","S"
469,6.770416,"23324","B5","G6350","S"
470,32.737724,"23320","B5","G6350","S"
471,34.093555,"24603","B5","G6350","S"
472,0.173426,"24624","B5","G6350","S"
473,3.717130,"24239","B5","G6350","S"
474,17.586529,"24657","B5","G6350","S"
475,74.375656,"24620","B5","G6350","S"
476,133.639404,"24614","B5","G6350","S"
477,55.781845,"24622","B5","G6350","S"
478,9.986832,"24634","B5","G6350","S"
479,4.984601,"24628","B5","G6350","S"
480,71.358498,"24656","B5","G6350","S"
481,42.512638,"24631","B5","G6350","S"
482,95.183357,"23231","B5","G6350","S"
483,2.468837,"23050","B5","G6350","S"
484,158.833511,"23061","B5","G6350","S"
485,47.360489,"23149","B5","G6350","S"
486,41.656673,"23072","B5","G6350","S"
487,8.479724,"23128","B5","G6350","S"
488,1.490074,"23062","B5","G6350","S"
489,0.233785,"23184","B5","G6350","S"
490,0.157855,"23001","B5","G6350","S"
491,0.335083,"23178","B5","G6350","S"
492,44.657951,"22408","B5","G6350","S"
493,10.138354,"22535","B5","G6350","S"
494,150.137543,"22427","B5","G6350","S"
495,92.698792,"22580","B5","G6350","S"
496,45.188156,"22438","B5","G6350","S"
497,88.992859,"22514","B5","G6350","S"
498,2.816332,"224XX","B5","G6350","S"
499,0.010555,"225XX","B5","G6350","S"
500,12.746632,"22538","B5","G6350","S"
501,141.170456,"23030","B5","G6350","S"
502,11.426209,"23224","B5","G6350","S"
503,95.099686,"23838","B5","G6350","S"
504,13.875705,"23236","B5","G6350","S"
505,14.374104,"23225","B5","G6350","S"
506,23.305952,"23831","B5","G6350","S"
507,19.962053,"23234","B5","G6350","S"
508,27.937487,"23836","B5","G6350","S"
509,17.504860,"23235","B5","G6350","S"
510,34.724636,"23112","B5","G6350","S"
511,20.006098,"23237","B5","G6350","S"
512,43.793697,"23832","B5","G6350","S"
513,30.727280,"22079","B5","G6350","S"
514,10.757852,"22102","B5","G6350","S"
515,12.947732,"22060","B5","G6350","S"
516,7.222259,"22031","B5","G6350","S"
517,11.444176,"22182","B5","G6350","S"
518,2.862216,"22041","B5","G6350","S"
519,5.391410,"22315","B5","G6350","S"
