ID,ZCTA5CE00,CLASSFP00,MTFCC00,FUNCSTAT00
895,408XX,B5,G6350,S
896,40815,B5,G6350,S
897,40601,B5,G6350,S
898,40379,B5,G6350,S
899,40347,B5,G6350,S
900,40003,B5,G6350,S
901,40370,B5,G6350,S
902,41035,B5,G6350,S
903,41097,B5,G6350,S
904,41003,B5,G6350,S
905,41052,B5,G6350,S
906,41010,B5,G6350,S
907,42079,B5,G6350,S
908,42066,B5,G6350,S
909,42082,B5,G6350,S
910,42088,B5,G6350,S
911,42061,B5,G6350,S
912,42027,B5,G6350,S
913,42085,B5,G6350,S
914,42051,B5,G6350,S
915,42759,B5,G6350,S
916,42731,B5,G6350,S
917,42711,B5,G6350,S
918,40505,B5,G6350,S
919,40508,B5,G6350,S
920,40517,B5,G6350,S
921,405HH,B5,G6350,S
922,40507,B5,G6350,S
923,40514,B5,G6350,S
924,40510,B5,G6350,S
925,40504,B5,G6350,S
926,40503,B5,G6350,S
927,40502,B5,G6350,S
928,40513,B5,G6350,S
929,40228,B5,G6350,S
930,40209,B5,G6350,S
931,40213,B5,G6350,S
932,40023,B5,G6350,S
933,40241,B5,G6350,S
934,40203,B5,G6350,S
935,40205,B5,G6350,S
936,40215,B5,G6350,S
937,40207,B5,G6350,S
938,40258,B5,G6350,S
939,40218,B5,G6350,S
940,40204,B5,G6350,S
941,402HH,B5,G6350,S
942,40245,B5,G6350,S
943,40206,B5,G6350,S
944,40217,B5,G6350,S
945,40222,B5,G6350,S
946,40223,B5,G6350,S
947,40291,B5,G6350,S
948,40210,B5,G6350,S
949,40211,B5,G6350,S
950,40212,B5,G6350,S
951,40118,B5,G6350,S
952,40216,B5,G6350,S
953,40243,B5,G6350,S
954,40208,B5,G6350,S
955,40059,B5,G6350,S
956,40242,B5,G6350,S
957,40202,B5,G6350,S
958,40214,B5,G6350,S
959,40219,B5,G6350,S
960,40220,B5,G6350,S
961,40402,B5,G6350,S
962,40488,B5,G6350,S
963,40481,B5,G6350,S
964,42453,B5,G6350,S
965,42456,B5,G6350,S
966,42441,B5,G6350,S
967,42440,B5,G6350,S
968,42431,B5,G6350,S
969,42436,B5,G6350,S
970,42410,B5,G6350,S
971,42413,B5,G6350,S
972,42086,B5,G6350,S
973,42003,B5,G6350,S
974,42001,B5,G6350,S
975,42372,B5,G6350,S
976,42371,B5,G6350,S
977,42352,B5,G6350,S
978,42350,B5,G6350,S
979,40117,B5,G6350,S
980,40104,B5,G6350,S
981,40108,B5,G6350,S
982,40155,B5,G6350,S
983,42649,B5,G6350,S
