,median,lower,upper,sd,year,abb
354,-0.038001017,-0.401341596,0.37667387,0.240068576,1942,AZ
355,0.941807171,0.550850901,1.261482345,0.216848881,1942,CA
356,0.659168398,0.306018583,1.015508992,0.218178651,1942,CO
357,0.574896165,0.243821858,0.965477763,0.226742775,1942,CT
358,-1.054553326,-1.502612517,-0.575053093,0.278596494,1942,DE
359,-1.252361949,-1.620309921,-0.761590201,0.264783031,1942,FL
360,-1.100430755,-1.548043776,-0.640514323,0.278024492,1942,GA
361,NA,NA,NA,NA,1942,HI
362,-0.046631703,-0.43183562,0.325009211,0.223820333,1942,IA
363,-0.184496827,-0.594651105,0.231775443,0.253707843,1942,ID
364,0.761897928,0.425887943,1.113826696,0.209171879,1942,IL
365,-0.088118167,-0.488507155,0.275478539,0.231425617,1942,IN
366,0.038662855,-0.278580239,0.404720772,0.206564939,1942,KS
367,-0.413312063,-0.842197845,-0.018125804,0.260034028,1942,KY
368,-0.320029286,-0.782191098,0.101113162,0.268280411,1942,LA
369,0.933389075,0.538810307,1.256335488,0.217244742,1942,MA
370,-0.227603669,-0.650810277,0.164178363,0.24503458,1942,MD
371,0.207422022,-0.164466831,0.589822178,0.229323144,1942,ME
372,0.749981189,0.398970999,1.059956142,0.210014396,1942,MI
373,0.431681862,0.071660884,0.804518871,0.226569639,1942,MN
374,-0.660222957,-1.138281658,-0.210151299,0.290364681,1942,MO
375,-1.836398329,-2.244404547,-1.526916863,0.227281236,1942,MS
376,0.068668184,-0.333929541,0.437789598,0.241231045,1942,MT
377,-0.698018827,-1.217953548,-0.254087226,0.289893837,1942,NC
378,-0.145932315,-0.544637668,0.209880897,0.240061163,1942,ND
379,-0.270587021,-0.65161803,0.122026446,0.241479255,1942,NE
380,-0.050762261,-0.474903185,0.316542219,0.243291345,1942,NH
381,0.69813164,0.312972528,1.06765294,0.225730323,1942,NJ
382,-0.014924549,-0.401991167,0.340102572,0.233665001,1942,NM
383,-0.331162934,-0.720730125,0.109684564,0.253185329,1942,NV
384,1.463553374,1.151412273,1.78600396,0.199186648,1942,NY
385,0.496173709,0.132887971,0.920686086,0.23925732,1942,OH
386,-0.5656366,-1.012044242,-0.157689188,0.259654175,1942,OK
387,0.175781508,-0.212386492,0.579859377,0.242288417,1942,OR
388,0.738834644,0.366409686,1.143876904,0.232515326,1942,PA
389,0.917657038,0.575137396,1.264864422,0.211073534,1942,RI
390,-1.100487212,-1.527869914,-0.585678597,0.291946418,1942,SC
391,-0.424595112,-0.859623503,-0.018750285,0.258579487,1942,SD
392,-1.089160322,-1.54952849,-0.558794757,0.303428647,1942,TN
393,-0.878817112,-1.380041121,-0.389398554,0.303737586,1942,TX
394,0.462822022,0.043258452,0.866452834,0.236296854,1942,UT
395,-0.823837902,-1.298271456,-0.350008256,0.278885924,1942,VA
396,-0.413584172,-0.800299948,0.015649417,0.234634379,1942,VT
397,0.679558723,0.271863374,1.039030626,0.234417955,1942,WA
398,0.613630325,0.289604545,1.040196072,0.226774193,1942,WI
399,-0.58427151,-1.081545639,-0.115638864,0.28400691,1942,WV
400,-0.748124981,-1.218340455,-0.292898171,0.282858488,1942,WY
401,NA,NA,NA,NA,1943,AK
402,-0.689706679,-1.197372885,-0.273715739,0.284162415,1943,AL
403,-0.997616493,-1.492856621,-0.477264279,0.305778725,1943,AR
404,-0.093081398,-0.499027094,0.265993446,0.235677977,1943,AZ
405,0.936861847,0.607309315,1.232782096,0.195915163,1943,CA
406,0.705401311,0.375027108,1.03964506,0.211646806,1943,CO
407,0.537134496,0.12208434,0.916923466,0.241503261,1943,CT
408,-1.054393616,-1.474700757,-0.520974505,0.290079129,1943,DE
409,-1.222747635,-1.614060839,-0.722041873,0.263208605,1943,FL
410,-1.2069127,-1.578553166,-0.6741858,0.28061239,1943,GA
411,NA,NA,NA,NA,1943,HI
412,-0.062197823,-0.407529608,0.327181064,0.234901442,1943,IA
413,-0.237366786,-0.647989348,0.153163165,0.24389612,1943,ID
414,0.832562229,0.509673432,1.165770231,0.203680917,1943,IL
415,-0.107388649,-0.452898021,0.275695912,0.223165429,1943,IN
416,0.192900039,-0.155036836,0.585060478,0.222103361,1943,KS
417,-0.497591288,-1.008410694,-0.074736241,0.280626738,1943,KY
418,-0.236660257,-0.695606077,0.15744465,0.250856464,1943,LA
419,0.976883213,0.644543935,1.326440689,0.207906324,1943,MA
420,-0.265922655,-0.729005445,0.133939915,0.258952176,1943,MD
