room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
16826862,8109587,Entire home/apt,Shaw,0,0,2,0,175,NA,38.906424,-77.014458
16826968,3057667,Entire home/apt,Logan Circle,0,0,4,1,270,NA,38.908554,-77.032899
16827423,20495214,Entire home/apt,Logan Circle,0,0,4,2,149,NA,38.909334,-77.033995
16827589,23845531,Entire home/apt,Columbia Heights,0,0,10,4,300,NA,38.925379,-77.033305
16827772,26762476,Private room,Anacostia,0,0,2,1,300,NA,38.863249,-76.962674
16827786,111349725,Entire home/apt,Mount Vernon Square,0,0,4,1,125,NA,38.904937,-77.01802
16827957,50142834,Entire home/apt,Catholic University-Brookland,2,0,2,1,65,NA,38.934212,-76.981205
16828007,45906957,Entire home/apt,U Street Corridor,0,0,6,2,800,NA,38.918291,-77.029146
16828088,59876141,Private room,Deanwood,0,0,2,1,155,NA,38.900063,-76.952167
16828167,55935763,Private room,Capitol Hill,0,0,2,1,36,NA,38.903702,-76.996149
16828319,107565678,Private room,Ledroit Park,0,0,1,1,150,NA,38.915393,-77.012105
16828383,111122159,Private room,Anacostia,0,0,1,0,500,NA,38.865179,-76.986553
16828518,26206487,Private room,Catholic University-Brookland,0,0,2,1,56,NA,38.94655,-76.981401
16828556,6735622,Entire home/apt,Dupont Circle,0,0,4,0,120,NA,38.908543,-77.044059
16828571,4002842,Entire home/apt,Capitol Hill,0,0,3,1,150,NA,38.888899,-76.998217
16828590,111988330,Entire home/apt,Capitol Hill,0,0,4,2,180,NA,38.878858,-76.996138
16828675,5202852,Private room,Anacostia,0,0,4,2,100,NA,38.868497,-76.978956
16828685,19811745,Private room,Columbia Heights,0,0,2,1,325,NA,38.934544,-77.03283
16828991,111692867,Entire home/apt,Brentwood,0,0,6,2,400,NA,38.909064,-77.003994
16828993,26206487,Private room,Catholic University-Brookland,1,0,1,0,19,NA,38.948356,-76.983442
16828996,90951493,Entire home/apt,Dupont Circle,0,0,2,1,99,NA,38.912078,-77.038961
16829032,49745580,Private room,Catholic University-Brookland,0,0,2,0,240,NA,38.941774,-77.023131
16829055,111991928,Private room,Capitol Hill,0,0,1,0,175,NA,38.899808,-77.002925
16829087,26206487,Private room,Catholic University-Brookland,0,0,2,1,27,NA,38.947926,-76.981595
16829090,111992794,Private room,Capitol Hill,0,0,2,1,160,NA,38.878804,-76.990817
16829258,5407909,Private room,Capitol Hill,0,0,2,1,250,NA,38.895758,-76.992288
16829362,111995827,Private room,Capitol Hill,0,0,4,1,350,NA,38.885772,-76.984407
16829418,56843761,Entire home/apt,Georgetown,0,0,4,1,300,NA,38.906353,-77.064733
16829602,31550106,Entire home/apt,Downtown,0,0,5,2,500,NA,38.904641,-77.029883
16829721,32934913,Entire home/apt,Anacostia,0,0,6,3,200,NA,38.868378,-76.972824
16829820,85656168,Entire home/apt,Glover Park,0,0,3,1,1500,NA,38.928924,-77.078635
16829821,112003737,Entire home/apt,Chevy Chase,0,0,4,2,100,NA,38.94825,-77.065013
16829828,14631166,Private room,Capitol Hill,0,0,3,1,500,NA,38.895928,-77.000458
16830112,1415232,Entire home/apt,Catholic University-Brookland,0,0,6,3,475,NA,38.926643,-76.992953
16830277,112007299,Entire home/apt,Foxhall Village,0,0,3,0,250,NA,38.908894,-77.084144
16830450,33455020,Entire home/apt,Capitol Hill,0,0,4,1,108,NA,38.902412,-76.99133
16830725,12706851,Entire home/apt,Capitol Hill,0,0,4,1,100,NA,38.898234,-76.994036
16830790,5606199,Private room,Adams Morgan,0,0,2,0,305,NA,38.921074,-77.040309
16831048,29260649,Private room,Stadium-Armory,0,0,1,1,100,NA,38.885395,-76.979684
16831210,112019802,Entire home/apt,Dupont Circle,0,0,10,1,224,NA,38.907552,-77.044678
16831389,112017582,Private room,Capitol Hill,0,0,2,1,100,NA,38.904801,-76.987845
16832746,112036330,Entire home/apt,Catholic University-Brookland,0,0,3,1,90,NA,38.934358,-76.992799
16834651,5507346,Entire home/apt,Dupont Circle,0,0,2,1,800,NA,38.912827,-77.045404
16834865,671202,Private room,Brentwood,0,0,2,1,75,NA,38.922405,-76.954134
16836434,17204144,Entire home/apt,The Palisades,0,0,4,3,400,NA,38.921964,-77.099607
16836775,112074036,Entire home/apt,Catholic University-Brookland,0,0,5,1,99,NA,38.953724,-77.01732
16837546,111292159,Entire home/apt,Foggy Bottom,0,0,2,1,100,NA,38.896384,-77.045243
16837793,112083657,Entire home/apt,Deanwood,0,0,8,3,250,NA,38.899322,-76.948792
16837815,16991460,Entire home/apt,Catholic University-Brookland,0,0,5,1,109,NA,38.933692,-77.022156
